question,answer,retrieval_success,answer_correct,no_hallucination_on_oos
"Hey, I just placed an order for a bunch of Novagear components and realized the ship-to plant is wrong. Can you still change my shipping address or is it too late?","Based on Novagear's policy, you may still be able to change your shipping address, but it depends on the current status of your order. If your order has **not yet been dispatched or handed over to the carrier**, address changes are possible. However, once a shipment is in transit, rerouting options depend on the carrier's policies and may involve additional fees or extended delivery times.  **Here's what you should do:** Contact Novagear's customer support or your account manager **as quickly as possible** with your correct shipping details. The sooner you reach out, the better your chances of making the change before your order ships.  You can reach Novagear support by: - Filling out their support form at their contact page - Emailing support@novagear.com directly  Since timing is critical, I'd recommend reaching out right away to see if your order is still in a stage where the address can be updated.",1,1,1
Why is my promo code saying “not valid” at checkout? I literally just got this yesterday.,"Your promo code might be showing as “not valid” at checkout for several common reasons, even if you just received it yesterday:  - The code was entered incorrectly (case sensitive or typing errors). Try copying and pasting it instead of typing manually.   - The promo code may have expired or is no longer active, despite being recent.   - Your order might not meet the eligibility requirements, such as minimum purchase value or product category restrictions tied to the code.   - The promo code might be restricted to specific products or collections, and items in your cart do not qualify.   - Only one promo code can be used per order, so if you attempted to apply more than one, only one can be accepted.   - If the code is for a special group (e.g., VIP members, first-time customers), and you do not meet that criteria, it will be invalid.    These causes are frequent based on similar issues reported by other users and e-commerce platforms[1][2][3][4]. To resolve the problem, verify the code’s validity, ensure your cart items and order meet the promo’s conditions, and enter the code exactly as given. If these steps don’t work, contacting the support team of the store with",1,1,1
"The stuff you sent is not what I ordered. I’m on a tight production deadline, what are you going to do about this?","Sorry, I don't know the answer to that question based on the available FAQ.",1,1,1
"Can I still cancel my order for those custom assemblies, or is it locked in once production starts?","Once production has started on your custom assembly order, you generally cannot cancel or modify it. If the order is intercepted before shipment, there may be a cancellation fee (such as a 25% mid-process fee in some cases), but if production has already begun, cancellation is typically not possible. For the most accurate answer regarding your specific order, contact your sales representative or customer support as soon as possible.",1,0,0
Do you guys even ship outside my country? I’m in Poland and our plant needs these parts.,"Yes, Novagear ships hardware to many countries worldwide, including Poland. During checkout, you can review available shipping options and destinations for your selected products. For complex cross-border B2B shipments, such as those involving import duties, taxes, and customs clearance, please coordinate with your Novagear sales representative or support team for assistance.",1,0,0
"My package arrived totally smashed, box dented, foam broken, one unit looks cracked. What’s the process here?","If your Novagear package arrived damaged, here's what you need to do:  **Immediate Steps:**  1. **Contact customer support right away** with your order number, tracking ID, and photos of the visible damage to both the packaging and the cracked unit. Don't delay on this—claims need to be raised within a defined time window after delivery.  2. **Document everything thoroughly** by taking clear photos from multiple angles showing the dented box, broken foam, and the cracked unit. The more visual documentation you have, the better.  3. **Keep all original packaging and damaged items** in their current condition until the claim is resolved. Our support team may need to inspect them, and disposing of materials prematurely could void your claim.  **What Happens Next:**  Our customer support team will coordinate with the carrier to investigate the damage. Depending on what they find, we'll arrange either a replacement shipment, a partial replacement, or a credit to your account.  The key is to reach out to us as soon as you notice the damage so we can start the process within the required timeframe.",1,1,1
Your catalog is confusing. How do I know which Novagear part is the correct replacement for the module I already have installed?,"To identify the correct replacement part for your Novagear module, you should first **check the product label or nameplate on your installed device** for the full model number, and if available, the serial or batch code. Using this precise identifier, you can search the Novagear catalog or portal where compatible accessories and spare parts are listed. Alternatively, you can **share this information with Novagear's technical support team**, along with photos of the rating plate and your installation environment. This helps ensure they recommend a replacement that meets the original electrical and mechanical specifications and is technically compatible with your existing setup[ see FAQ Q: How can I find the correct replacement part or spare for my Novagear product?].  If you face difficulty navigating the catalog or ensuring the new part’s compatibility, you can also compare key technical parameters—such as voltage, current ratings, communication interfaces, connector types, and mechanical form factors—against your current module data as listed in the Novagear datasheet and manual. For complex applications, involving Novagear engineering support with your system schematic can provide additional verification[see FAQ Q: How do I check compatibility between Novagear components and third-party equipment?].  This approach avoids confusion by relying on the exact",1,1,1
Where can I download the datasheet and wiring diagram for this specific controller if all I have is the part number?,"Sorry, I don't know the answer to that question based on the available FAQ.",1,1,1
"Is this device actually certified for use in the EU and North America, or am I going to fail an audit?","Sorry, I don't know the answer to that question based on the available FAQ.",0,0,1
"What are the temperature and humidity limits for these units? They’re going into a hot, dusty cabinet on our line.","Sorry, I don't know the answer to that question based on the available FAQ.",1,1,1
